,,Price,Payment_Type
amex,11,1200,Amex
amex,35,1200,Amex
amex,39,3600,Amex
amex,40,3600,Amex
amex,44,1200,Amex
amex,48,1200,Amex
amex,93,1200,Amex
amex,105,1200,Amex
amex,118,1200,Amex
amex,119,1200,Amex
amex,123,1200,Amex
amex,131,1200,Amex
amex,146,1200,Amex
amex,170,1200,Amex
amex,186,1200,Amex
amex,191,1200,Amex
amex,193,1200,Amex
amex,203,1200,Amex
amex,208,1200,Amex
amex,209,3600,Amex
amex,220,1200,Amex
amex,232,3600,Amex
amex,242,1200,Amex
amex,245,1200,Amex
amex,246,1200,Amex
amex,254,3600,Amex
amex,276,1200,Amex
amex,279,1200,Amex
amex,293,1200,Amex
amex,294,800,Amex
amex,297,1200,Amex
amex,305,1200,Amex
amex,335,1200,Amex
amex,352,1200,Amex
amex,356,1200,Amex
amex,358,3600,Amex
amex,364,1200,Amex
amex,367,1200,Amex
amex,398,1200,Amex
amex,405,1200,Amex
amex,425,1200,Amex
amex,432,3600,Amex
amex,435,1200,Amex
amex,438,1200,Amex
amex,445,1200,Amex
amex,449,1200,Amex
amex,452,3600,Amex
amex,459,1200,Amex
amex,460,3600,Amex
amex,461,1200,Amex
amex,464,3600,Amex
amex,468,1200,Amex
amex,472,1200,Amex
amex,484,1200,Amex
amex,490,1200,Amex
amex,491,1800,Amex
amex,492,1200,Amex
amex,503,1200,Amex
amex,509,1200,Amex
amex,516,3600,Amex
amex,519,1200,Amex
amex,535,3600,Amex
amex,545,1200,Amex
amex,547,1200,Amex
amex,555,1200,Amex
amex,559,1200,Amex
amex,588,1200,Amex
amex,591,1200,Amex
amex,594,3600,Amex
amex,595,1200,Amex
amex,606,1200,Amex
amex,618,3600,Amex
amex,642,1200,Amex
amex,653,1200,Amex
amex,655,3600,Amex
amex,664,1200,Amex
amex,667,1200,Amex
amex,673,1200,Amex
amex,682,1200,Amex
amex,691,1200,Amex
amex,699,3600,Amex
amex,729,1200,Amex
amex,734,1200,Amex
amex,737,1200,Amex
amex,738,1200,Amex
amex,746,1200,Amex
amex,764,1200,Amex
amex,780,1200,Amex
amex,784,3600,Amex
amex,788,1200,Amex
amex,796,3600,Amex
amex,800,1200,Amex
amex,830,1200,Amex
amex,833,1200,Amex
amex,839,1200,Amex
amex,846,1200,Amex
amex,849,1200,Amex
amex,876,1200,Amex
amex,883,3600,Amex
amex,888,1200,Amex
amex,889,1200,Amex
amex,905,1200,Amex
amex,907,1200,Amex
amex,921,1200,Amex
amex,928,3600,Amex
amex,935,1200,Amex
amex,936,1200,Amex
amex,942,1200,Amex
amex,951,3600,Amex
amex,995,7500,Amex
